Cranberry,1,45
Cranberry,2,80
Orange,1,70
Strawberry,7,85
Pomogranette,4,60
Litchie,8,60
Watermelon,5,45
Watermelon,4,85
Strawberry,5,50
Watermelon,5,45
Mango,1,85
Orange,8,40
Orange,1,65
Grapes,4,50
Orange,7,65
Strawberry,4,55
Litchie,4,70
Litchie,1,80
Mango,1,85
Watermelon,1,50
Pomogranette,5,50
Cranberry,4,55
Orange,5,60
Pomogranette,6,80
Grapes,4,40
Cranberry,6,60
Watermelon,1,75
Grapes,6,60
Cranberry,1,40
Apple,5,65
Cranberry,3,60
Pomogranette,2,55
Pineapple,1,45
Pineapple,1,70
Strawberry,7,40
Mango,5,85
Watermelon,3,80
Watermelon,3,80
Mango,6,60
Pineapple,8,60
Strawberry,5,50
Orange,2,75
Orange,5,70
Watermelon,8,65
Orange,1,40
Watermelon,4,40
Pomogranette,7,70
Strawberry,5,55
Mango,8,40
Pomogranette,7,80
Litchie,6,70
Orange,4,85
Grapes,4,75
Cranberry,4,70
Grapes,1,60
Cranberry,7,65
Pomogranette,8,45
Apple,5,65
Grapes,6,45
Strawberry,7,75
Watermelon,5,85
Mango,5,65
Pineapple,8,65
Pineapple,3,85
Watermelon,2,45
Pomogranette,3,55
Pineapple,1,55
Mango,2,40
Orange,4,80
Pineapple,4,65
Apple,3,65
Cranberry,5,80
Pineapple,3,75
Grapes,6,45
Watermelon,1,45
Watermelon,5,60
Strawberry,6,40
Pineapple,4,40
Apple,6,45
Orange,7,75
Pineapple,4,75
Litchie,5,70
Strawberry,3,70
Grapes,8,80
Watermelon,7,45
Apple,6,80
Litchie,1,40
Watermelon,2,70
Mango,5,70
Grapes,5,70
Apple,7,80
Litchie,5,65
Cranberry,7,80
Litchie,2,60
Watermelon,7,55
Strawberry,3,45
Pineapple,5,65
Strawberry,3,55
Litchie,4,50
Pineapple,5,60
